id,epic,role,i_want_to,so_that,acceptance_criteria,status,priority
E02-US004,Firm Management,Firm manager,Invite accountants by email,My team can start working,Email sent with invitation; accountant role assigned automatically,backlog,medium
E02-US005,Firm Management,Firm manager,Remove a team member,Access is revoked when someone leaves,User removed from firm; their pending work reassigned,backlog,medium
E02-US006,Firm Management,Firm manager,Change a team member's role,An accountant is promoted to manager,Role change takes effect immediately; audit logged,backlog,medium
E02-US007,Firm Management,Firm manager,View all team members,I have an overview of my team,"List shows name, email, role, last active, pending invitations",backlog,medium
E02-US008,Firm Management,Firm manager,View subscription status,I know our plan limits,"Shows current plan, usage vs. limits, renewal date",backlog,medium
E02-US009,Firm Management,Firm manager,Upgrade subscription,We need more client capacity,Redirect to billing; upgrade takes effect immediately,backlog,medium
E02-US010,Firm Management,Firm manager,View invoice history,I have billing records for accounting,"PDF download per invoice; date, amount, period",backlog,medium
E02-US011,Firm Management,Firm manager,Set default language for new clients,Our Iranian clients get Persian by default,Default language preference saved; applies to new client profiles,backlog,medium
E02-US012,Firm Management,Admin,View all firms and their plans,I have operational oversight,"Table with firm name, plan, client count, last active",backlog,medium
E02-US013,Firm Management,Admin,Enable a feature flag for a firm,I roll out features gradually,Toggle per firm; takes effect within 5 seconds,backlog,medium
E02-US014,Firm Management,Firm manager,Configure email notification preferences,I control what emails the firm receives,Checkboxes per notification type; saved per user,backlog,medium
E02-US015,Firm Management,Firm manager,Export a client list to CSV,I have an offline backup,"CSV includes client name, email, persona, active engagements",backlog,medium
E03-US001,Client Management,Accountant,Create a new client with name and email,I can start working on their taxes,Name required; email optional; client created immediately,backlog,medium
E03-US002,Client Management,Accountant,Set a client's persona (ZZP/employee/expat/DGA),The right checklist and rules apply,Single-select; can be changed until first engagement is filed,backlog,medium
E03-US003,Client Management,Accountant,Set a client's preferred language,They receive communications in their language,NL/EN/FA; applies to all client-facing content,backlog,medium
E03-US004,Client Management,Accountant,Enter client's KVK number,Business identity is on file,Optional; validates format,backlog,medium
E03-US005,Client Management,Accountant,View all clients in a filterable list,I have an overview of all active work,"Filter by status, persona, tax year; search by name",backlog,medium
E03-US006,Client Management,Accountant,Archive an inactive client,Old clients don't clutter my view,Archived clients hidden by default; recoverable,backlog,medium
E03-US007,Client Management,Client,View and update my own profile,My details are up to date,"Edit name, email, language; changes saved immediately",backlog,medium
E03-US008,Client Management,Accountant,Link a client to a portal user account,The client can log in and upload documents themselves,Client receives invitation email; account linked on acceptance,backlog,medium
E03-US009,Client Management,Accountant,View client's tax history (previous years),I see the full picture,List of past engagements with readiness scores,backlog,medium
E03-US010,Client Management,Accountant,Add notes to a client profile,I remember important context,Free text notes; visible only to firm team,backlog,medium
E03-US011,Client Management,Accountant,"Mark a client as ""Wet DBA risk""",I track compliance risk,Risk level (low/medium/high) stored on tax_profile,backlog,medium
E03-US012,Client Management,Accountant,Filter clients by Wet DBA risk,I prioritize high-risk clients,Filter by risk level in client list,backlog,medium
E03-US013,Client Management,Accountant,Bulk-create clients via CSV upload,I onboard many clients at once,CSV template downloadable; validation report shown before import,backlog,medium
E03-US014,Client Management,Admin,Search for any client across all firms,I can assist with support requests,Admin-only search; firm isolation still shown in results,backlog,medium
E03-US015,Client Management,Accountant,See a client's BSN on file,I can verify identity for the IB return,BSN shown masked (***-***-**) by default; reveal requires MFA confirmation,backlog,medium
E04-US001,Engagement Workspace,Accountant,Open a new engagement for a client + tax year,All work is organized in one place,"(client, tax_year) must be unique per firm; created immediately",backlog,medium
E04-US002,Engagement Workspace,Accountant,See the engagement status,I know where each client is in the process,"Status shown: intake, documents_pending, in_review, ready, filed, archived",backlog,medium
E04-US003,Engagement Workspace,Accountant,"Transition an engagement to ""ready""",I indicate the client's file is complete,Requires readiness score ≥ 80; transition recorded in status history,backlog,medium
E04-US004,Engagement Workspace,Accountant,"Mark an engagement as ""filed""",I close out the year,Final status; no further document changes possible without accountant override,backlog,medium
E04-US005,Engagement Workspace,Accountant,Assign an engagement to a colleague,Another accountant handles this client,Assigned user receives notification; filter by assigned_to in inbox,backlog,medium
E04-US006,Engagement Workspace,Accountant,Leave a note on an engagement,I communicate context to colleagues,Note saved with author + timestamp; visible in engagement header,backlog,medium
E04-US007,Engagement Workspace,Accountant,See a list of all open tasks,I know what actions are pending,Tasks grouped by priority; filter by status,backlog,medium
E04-US008,Engagement Workspace,Accountant,Create a task for a specific engagement,I track action items,Title + priority + optional due date; assignable to team members,backlog,medium
E04-US009,Engagement Workspace,Accountant,Mark a task as done,Completed items are cleared,Task status → done; timestamp recorded,backlog,medium
E04-US010,Engagement Workspace,Client,View my own engagement status,I know how the process is going,"Status shown in plain language (e.g., ""Uw dossier wordt beoordeeld"")",backlog,medium
E04-US011,Engagement Workspace,Client,See which documents are still needed,I know what to upload,Pending checklist items shown with label in my preferred language,backlog,medium
E04-US012,Engagement Workspace,Accountant,Filter engagements by status,I see only in-progress files,Filter applied to engagement list; persists during session,backlog,medium
E04-US013,Engagement Workspace,Accountant,Sort engagements by readiness score,I prioritize lowest-scoring files,Sort ascending shows most incomplete engagements first,backlog,medium
E04-US014,Engagement Workspace,Accountant,Search engagements by client name,I find a specific client quickly,Instant search; results appear within 300ms,backlog,medium
E04-US015,Engagement Workspace,Firm manager,View all engagements across all team members,I have firm-wide oversight,"Filter by assigned_to, status, tax_year",backlog,medium
E05-US001,Document Upload & Intake,Client,Upload a PDF via drag-and-drop,I submit my documents easily,Max 25 MB; PDF/JPG/PNG accepted; upload shows progress bar,backlog,medium
E05-US002,Document Upload & Intake,Client,Upload multiple files at once,I submit all my documents in one go,Multi-file upload; each processed independently,backlog,medium
E05-US003,Document Upload & Intake,Client,See upload confirmation,I know the document was received,"""Ontvangen — wordt verwerkt"" shown; document appears in list",backlog,medium
E05-US004,Document Upload & Intake,Client,See why an upload failed,I can fix the problem,"Error in Dutch/English/Persian; actionable (e.g., ""Bestand te groot"")",backlog,medium
E05-US005,Document Upload & Intake,System,Virus-scan uploaded files automatically,Malware never enters the system,ClamAV scan within 30s; infected files rejected immediately,backlog,medium
E05-US006,Document Upload & Intake,Accountant,Upload a document on behalf of a client,I handle documents received by post,"Same upload flow; document tagged as ""uploaded_by_accountant""",backlog,medium
E05-US007,Document Upload & Intake,Accountant,See newly uploaded documents in my inbox,I know when clients submit,Inbox notification within 1 min of upload,backlog,medium
E05-US008,Document Upload & Intake,Client,Replace a previously uploaded document,I submitted the wrong file,New version created; old version archived (not deleted),backlog,medium
E05-US009,Document Upload & Intake,Accountant,Download an uploaded document,I need to view the original file,S3 pre-signed URL; expires in 15 min,backlog,medium
E05-US010,Document Upload & Intake,Accountant,Delete an uploaded document,An irrelevant file was uploaded,Requires reason; document soft-deleted; audit logged,backlog,medium
E05-US011,Document Upload & Intake,System,Detect duplicate uploads (same hash),Storage is not wasted,"Warning shown: ""Dit bestand is al geüpload"" — allow override",backlog,medium
E05-US012,Document Upload & Intake,Client,Receive confirmation email after upload,I have a receipt,Email with filename + timestamp sent immediately,backlog,medium
E05-US013,Document Upload & Intake,Accountant,Filter documents by type,I find the right document quickly,"Filter: JAAROPGAVE, BTW, BANKAFSCHRIFT, etc.",backlog,medium
E05-US014,Document Upload & Intake,Accountant,See which document request each upload fulfills,I track coverage,Document linked to document_request; checklist item auto-updated,backlog,medium
E05-US015,Document Upload & Intake,System,Store all document files encrypted at rest,Client data is secure,AES-256 at S3 level; metadata in DB never stores file content,backlog,medium
E06-US001,Document Processing — OCR & Classification,System,Run OCR on uploaded PDFs automatically,Structured text is available for processing,Textract called within 60s of upload; raw text stored in pipeline_run,backlog,medium
E06-US002,Document Processing — OCR & Classification,System,Classify the document type automatically,The right extraction template is applied,Claude classifier returns type + confidence within 30s,backlog,medium
E06-US003,Document Processing — OCR & Classification,System,Extract key fields from the document,Structured data is available for review,Required fields per document_type extracted; stored in extracted_fields,backlog,medium
E06-US004,Document Processing — OCR & Classification,System,Compute a confidence score per extracted field,Low-confidence fields are flagged,confidence in [0.0–1.0]; stored alongside normalized_value,backlog,medium
E06-US005,Document Processing — OCR & Classification,System,Compute composite automation confidence,Routing decision is automated,composite = doc_conf × field_score; routing: straight-through/spot-check/review/manual,backlog,medium
E06-US006,Document Processing — OCR & Classification,System,Auto-approve high-confidence documents,No human review needed for clear cases,Composite ≥ 0.90: document status → approved; checklist item auto-updated,backlog,medium
E06-US007,Document Processing — OCR & Classification,Accountant,See which documents are awaiting review,I know my queue,Filter documents by routing_decision = human_review,backlog,medium
E06-US008,Document Processing — OCR & Classification,Accountant,See the detected document type and confidence,I verify the classifier was correct,Classification shown on document card with confidence badge,backlog,medium
E06-US009,Document Processing — OCR & Classification,System,Detect when a document is from the wrong tax year,Mismatched documents are flagged,tax_year_detected compared to engagement.tax_year; mismatch → accountant action,backlog,medium
E06-US010,Document Processing — OCR & Classification,System,"Normalize Dutch currency amounts (€ 58.800,-)",Structured data is usable,Normalized to decimal: 58800.00; stored in extracted_fields.normalized_value,backlog,medium
E06-US011,Document Processing — OCR & Classification,System,Validate BSN using the elfproef,Invalid BSNs never pass through,elfproef check; fail → confidence = 0.0; accountant action created,backlog,medium
E06-US012,Document Processing — OCR & Classification,System,Handle multi-page PDFs correctly,Multi-page documents are fully processed,"All pages sent to OCR; extracted fields from full document, not just page 1",backlog,medium
E06-US013,Document Processing — OCR & Classification,Accountant,Reclassify a misclassified document,OCR mistakes can be corrected,Manual classification override; re-runs extraction with new type,backlog,medium
E06-US014,Document Processing — OCR & Classification,System,Log each pipeline stage,Debugging is possible,"pipeline_runs row per stage: virus_scan, ocr, classification, extraction, validation",backlog,medium
E06-US015,Document Processing — OCR & Classification,System,Retry failed OCR with exponential backoff,Transient Textract errors are handled,"Max 3 retries: 1s, 4s, 16s; if all fail → manual processing route",backlog,medium
E07-US001,Human-in-the-Loop Review,Accountant,See a prioritized review queue,I process the most urgent documents first,Queue sorted by priority (high→low); high = red badge,backlog,medium
E07-US002,Human-in-the-Loop Review,Accountant,Accept an extracted field as correct,The value is confirmed,review_state = accepted; final_value = normalized_value,backlog,medium
E07-US003,Human-in-the-Loop Review,Accountant,Correct an extracted field value,OCR errors are fixed,New value entered; review_state = corrected; original stored,backlog,medium
E07-US004,Human-in-the-Loop Review,Accountant,Reject a document,It cannot be processed,document.status = rejected; client notified to resubmit,backlog,medium
E07-US005,Human-in-the-Loop Review,System,Lock a document while in review,No conflicting changes,locked_by set when accountant opens; expires in 30 min; auto-released,backlog,medium
E07-US006,Human-in-the-Loop Review,Accountant,See a lock conflict message,I know someone else is reviewing,"""In behandeling door [Name] — vrij om [time]"" displayed",backlog,medium
E07-US007,Human-in-the-Loop Review,System,Prevent concurrent review submissions,No data conflicts,Optimistic locking with If-Match header; 409 on conflict,backlog,medium
E07-US008,Human-in-the-Loop Review,Accountant,See two conflicting field values side-by-side,I can choose the right one,Conflict UI shows source A vs source B with provenance,backlog,medium
E07-US009,Human-in-the-Loop Review,Accountant,Submit a review with a reason code,The audit trail is meaningful,"reason_code dropdown (ocr_error, format_difference, etc.); required on corrections",backlog,medium
E07-US010,Human-in-the-Loop Review,System,Notify the client when a document is rejected,They know to resubmit,Email sent in client's preferred language within 5 min,backlog,medium
E07-US011,Human-in-the-Loop Review,Accountant,See the bounding box of an extracted field on the document image,I can verify accuracy visually,Field highlighted on document image (Textract bounding box data),backlog,medium
E07-US012,Human-in-the-Loop Review,System,"Require human review for Box 2 income > €10,000",High-value items always have oversight,Mandatory flag; cannot auto-approve regardless of confidence,backlog,medium
E07-US013,Human-in-the-Loop Review,Accountant,See the full extraction history for a field,I can audit what changed,Timeline of raw→normalized→corrected values with timestamps,backlog,medium
E07-US014,Human-in-the-Loop Review,Accountant,Approve multiple fields at once (bulk accept),I process clean documents quickly,Select all high-confidence fields → bulk accept,backlog,medium
E07-US015,Human-in-the-Loop Review,System,Update the readiness score immediately on review completion,Engagement dashboard reflects reality,Score recalculated within 2 seconds of review submission,backlog,medium
E08-US001,Readiness Scoring,Accountant,See the readiness score on the engagement,I know at a glance how complete it is,Score 0–100 shown as circular gauge; color-coded,backlog,medium
E08-US002,Readiness Scoring,Accountant,See the formula breakdown,I understand the score,"doc_score×0.40, checklist×0.30, verification×0.20, review×0.10 shown",backlog,medium
E08-US003,Readiness Scoring,System,Recalculate score automatically on every change,Score is always up to date,"Triggers: document accepted, checklist updated, review submitted",backlog,medium
E08-US004,Readiness Scoring,Accountant,See which component is dragging the score down,I know what to prioritize,Lowest-scoring component highlighted with actionable tip,backlog,medium
E08-US005,Readiness Scoring,Client,See my readiness progress,I know how complete my intake is,Score shown in client portal (without formula breakdown),backlog,medium
E08-US006,Readiness Scoring,System,Store a snapshot of every score calculation,Audit trail is complete,readiness_snapshots row per recalculation with all 4 components,backlog,medium
E08-US007,Readiness Scoring,Accountant,Override a score component,Edge cases are handled,"Override requires reason; shown as ""Score overschreven"" badge; audit logged",backlog,medium
E08-US008,Readiness Scoring,System,"Treat a waived DocumentRequest as ""accepted"" for doc_score",Waivers count,req_{stable_key} inherits checklist item accepted/waived status,backlog,medium
E08-US009,Readiness Scoring,Accountant,See the score history over time,I understand the engagement trajectory,Score history chart in overview tab (readiness_snapshots),backlog,medium
E08-US010,Readiness Scoring,Firm manager,See readiness scores across all engagements,I have portfolio-level view,"Dashboard sorted by score; filter by threshold (e.g., < 80)",backlog,medium
E08-US011,Readiness Scoring,System,Send notification when score reaches 80,Accountant is alerted at ready-for-review,Notification created; email sent to assigned accountant,backlog,medium
E08-US012,Readiness Scoring,System,Never allow score > 100 or < 0,Data integrity,"Clamped to [0, 100] always",backlog,medium
E08-US013,Readiness Scoring,Accountant,See how many engagements are below 50%,I prioritize laggards,Count shown in firm dashboard with link to filtered list,backlog,medium
E08-US014,Readiness Scoring,System,Handle the case where no checklist items exist,Score is still meaningful,If checklist empty: checklist_score = 100 (N/A gives full credit),backlog,medium
E08-US015,Readiness Scoring,Accountant,See persona-specific score adjustments,ZZP: Wet DBA must be resolved,Persona adjustments shown as warnings below score (not affecting formula),backlog,medium
E09-US001,Checklist Management,System,Auto-generate checklist on engagement creation,No manual setup needed,Template matched by persona + year; items created with status=todo,backlog,medium
E09-US002,Checklist Management,Accountant,"See checklist items in NL, EN, or FA",My client understands,Label shown in the user's current language preference,backlog,medium
E09-US003,Checklist Management,Accountant,Mark a checklist item as waived,Optional items can be dismissed,Item status → waived; score updated; reason stored,backlog,medium
E09-US004,Checklist Management,Accountant,Add a custom checklist item,Edge cases not in the template,Free-form label in NL/EN/FA; stable_key auto-generated,backlog,medium
E09-US005,Checklist Management,Accountant,Remove a custom checklist item,It was added by mistake,Soft-delete; only before it is accepted,backlog,medium
E09-US006,Checklist Management,System,Update checklist item status when document is accepted,Checklist reflects document pipeline,checklist_item_states updated when document_request linked to stable_key is accepted,backlog,medium
E09-US007,Checklist Management,Accountant,See which items are blocking the score,I know what the client still needs to do,Items marked todo/rejected shown with priority indicator,backlog,medium
E09-US008,Checklist Management,Client,See the checklist in my preferred language,I know what to submit in my language,Labels in NL/EN/FA based on client.preferred_lang,backlog,medium
E09-US009,Checklist Management,Accountant,Reorder checklist items,I surface the most urgent items,Drag-to-reorder; sort_order updated,backlog,medium
E09-US010,Checklist Management,Admin,Create a new checklist template,A new year's template is ready,Template with persona + year; items added to it,backlog,medium
E09-US011,Checklist Management,Admin,Update an existing checklist template,Rules change between years,New version created; existing engagements not affected,backlog,medium
E09-US012,Checklist Management,Accountant,Copy a checklist template from last year,I don't start from scratch,Copies items; strips stable_keys that no longer apply,backlog,medium
E09-US013,Checklist Management,Accountant,See completion % of the checklist,I know overall progress,(accepted + waived) / total × 100,backlog,medium
E09-US014,Checklist Management,System,Link each document request to a checklist item,Score integration works,document_requests.stable_key = 'req_' + checklist_items.stable_key,backlog,medium
E09-US015,Checklist Management,Accountant,Send a reminder to the client for pending items,Client uploads complete,Email in client's language listing all todo items,backlog,medium
E10-US001,AI Tax Q&A,ZZP client,Ask a tax question in Dutch,I get an accurate answer,Response cites source_url; follows expected_ai_behavior,backlog,medium
E10-US002,AI Tax Q&A,Expat client,Ask a tax question in English,I get the same quality answer in English,RAG retrieves same chunks; response in English,backlog,medium
E10-US003,AI Tax Q&A,Iranian client,Ask a tax question in Persian,I get a full answer in Persian,Response in Persian; RTL layout; no incomplete translations,backlog,medium
E10-US004,AI Tax Q&A,Client,See the source URL for every tax fact cited,I can verify the answer,Source URLs shown as badges below each claim,backlog,medium
E10-US005,AI Tax Q&A,Client,Get a streaming response,I see the answer appearing while it's generated,SSE stream; first token within 2s; full response within 8s,backlog,medium
E10-US006,AI Tax Q&A,Accountant,See the full chat history for an engagement,I know what the AI told my client,Chat thread visible in engagement workspace,backlog,medium
E10-US007,AI Tax Q&A,Client,Ask a follow-up question in the same thread,Context is maintained,Thread persists; previous messages in context,backlog,medium
E10-US008,AI Tax Q&A,System,Apply the expected_ai_behavior field to the response,AI calibrates its confidence correctly,answer_directly / answer_with_caveat / refer_to_advisor respected,backlog,medium
E10-US009,AI Tax Q&A,System,Fall back to mock mode when API key is absent,Dev environment works without billing,"Mock response returned; yellow ""mock mode"" banner shown",backlog,medium
E10-US010,AI Tax Q&A,Client,Ask about the home office deduction,I learn it's generally not applicable for ZZP,AI gives direct answer citing the misconception rule,backlog,medium
E10-US011,AI Tax Q&A,Client,Ask about startersaftrek,I'm warned it's the last year in 2026,AI notes expiry clearly; cites SA-2026-001,backlog,medium
E10-US012,AI Tax Q&A,System,Cascade-retrieve rule_ids from Q&A pairs,Full context is in the response,"When Q&A chunk retrieved, its rule_ids are also fetched",backlog,medium
E10-US013,AI Tax Q&A,Client,See suggested questions when chat is empty,I know what to ask,3 suggested questions shown in the user's language,backlog,medium
E10-US014,AI Tax Q&A,System,Filter RAG results by user_type,Employee doesn't get ZZP-only rules,user_type metadata filter applied on every retrieve() call,backlog,medium
E10-US015,AI Tax Q&A,Client,Start a new conversation,Old context doesn't contaminate my new question,New thread created; previous messages not in context,backlog,medium
E11-US001,Tax Calculator,ZZP user,Enter my profit and get a total tax estimate,I know how much to reserve monthly,"calculator(profile) returns total_tax, effective_rate, monthly_reserve",backlog,medium
E11-US002,Tax Calculator,ZZP user,See each deduction applied step-by-step,I understand my tax bill,Breakdown: profit → ZA → SA → MKB → taxable income → Box1 → credits,backlog,medium
E11-US003,Tax Calculator,ZZP user,See ZVW bijdrage calculated separately,I'm aware of the hidden health tax,"ZVW shown as separate line item; ""Vergeet de ZVW niet"" note",backlog,medium
E11-US004,Tax Calculator,Employee,Calculate my tax with jaaropgave data,I verify what my employer already withheld,"Input: gross salary, tax_withheld; output: balance due/refund",backlog,medium
E11-US005,Tax Calculator,Expat,Calculate with 30% ruling applied,I see my effective rate correctly,30% ruling reduction applied to taxable income per year 1-3/4/5,backlog,medium
E11-US006,Tax Calculator,DGA,Calculate Box 1 (salary) + Box 2 (dividend),I optimize the salary/dividend split,Separate Box 1 and Box 2 calculations; combined effective rate shown,backlog,medium
E11-US007,Tax Calculator,System,Read all tax rates from phase1/data/seed JSON,No hardcoded values are used,data_loader.py reads all values; no literals in calculator code,backlog,medium
E11-US008,Tax Calculator,System,Run 6 seed scenarios with 0.0% error,Calculator is deterministic and accurate,test_scenarios.py passes with 0.0% error on all 6 scenarios,backlog,medium
E11-US009,Tax Calculator,ZZP user,See my zorgtoeslag eligibility,I know if I qualify,"If income < €40,857: zorgtoeslag_eligible=True; cliff warning at €40,800",backlog,medium
E11-US010,Tax Calculator,ZZP user,See my huurtoeslag eligibility,I claim all benefits I qualify for,Checked with 2026 reform (no rent ceiling),backlog,medium
E11-US011,Tax Calculator,ZZP user,See Wet DBA risk assessment,I know my compliance status,Risk level: low/medium/high + reasons,backlog,medium
E11-US012,Tax Calculator,Client,See calculation in my preferred language,I understand the output,All labels in NL/EN/FA; amounts formatted per language,backlog,medium
E11-US013,Tax Calculator,System,Return calculation within 100ms (P95),UI feels responsive,Performance test in CI; alert if P95 > 100ms,backlog,medium
E11-US014,Tax Calculator,Accountant,See the client's last calculator result,I understand their situation,Most recent TaxResult stored per engagement,backlog,medium
E11-US015,Tax Calculator,ZZP user,Calculate pension deduction (lijfrente jaarruimte),I maximize pension savings,"LR-2026-001: 30% × (income − €19,172) with floor 0",backlog,medium
E12-US001,Deduction Opportunity Scanner,ZZP user,See a list of deductions I may have missed,I don't leave money on the table,Opportunities listed with estimated saving and confidence,backlog,medium
E12-US002,Deduction Opportunity Scanner,ZZP user,Be warned startersaftrek ends after 2026,I claim it this year,Alert shown if user qualifies and tax_year = 2026; expires 2026-12-31,backlog,medium
E12-US003,Deduction Opportunity Scanner,ZZP user with 1200 hrs,See zelfstandigenaftrek opportunity,"I don't miss €1,200","rule_confidence = 0.65 (hours estimated); note ""Upload urenstaat to increase confidence""",backlog,medium
E12-US004,Deduction Opportunity Scanner,"ZZP user near €40,857",See zorgtoeslag cliff warning,I can plan my invoicing,"Warning at €40,000+; ""Stay below €40,857 to keep zorgtoeslag""",backlog,medium
E12-US005,Deduction Opportunity Scanner,Expat,See 30% ruling phase-down status,I adjust my expectations,"Year 4 = 20%, Year 5 = 10%; shown clearly",backlog,medium
E12-US006,Deduction Opportunity Scanner,DGA,See gebruikelijk loon reminder,"I pay myself at least €56,000","Alert if DGA salary < €56,000",backlog,medium
E12-US007,Deduction Opportunity Scanner,ZZP user,"See KIA opportunity if investing > €2,901",I claim the investment deduction,KIA-2026-001; requires FACTUUR_INKOMEND evidence,backlog,medium
E12-US008,Deduction Opportunity Scanner,Accountant,Review all opportunities before client sees them,No incorrect advice is delivered,"Opportunities in ""presented"" status only after accountant approval",backlog,medium
E12-US009,Deduction Opportunity Scanner,System,Expire SA-2026-001 after 2026-12-31,Outdated opportunities are removed,effective_until filter removes expired opportunities automatically,backlog,medium
E12-US010,Deduction Opportunity Scanner,Client,Dismiss a deduction opportunity,It's not applicable to me,Status → dismissed; won't re-appear; accountant notified,backlog,medium
E12-US011,Deduction Opportunity Scanner,Client,Accept a deduction opportunity,I want to pursue it,Status → accepted; evidence requirements shown,backlog,medium
E12-US012,Deduction Opportunity Scanner,System,Compute deduction confidence as rule × evidence,Confidence reflects completeness,deduction_confidence = rule_confidence × evidence_completeness,backlog,medium
E12-US013,Deduction Opportunity Scanner,Client,Upload evidence for a deduction opportunity,I prove I qualify,Document upload linked to evidence_requirement; completeness recalculated,backlog,medium
E12-US014,Deduction Opportunity Scanner,System,Show misconception alert for home office,A common mistake is avoided,alert shown when home office keyword detected in chat,backlog,medium
E12-US015,Deduction Opportunity Scanner,Accountant,See estimated tax saving per opportunity,I prioritize the most valuable,Sorted by estimated_saving descending by default,backlog,medium
E13-US001,IB Return Guide,ZZP user,"See plain-language explanation for field ""1a""",I don't make entry mistakes,"label_nl, label_en, label_fa all populated; explanation shown",backlog,medium
E13-US002,IB Return Guide,Expat,See the IB guide in English,I file correctly as a non-Dutch speaker,All 9 IB fields explained in English,backlog,medium
E13-US003,IB Return Guide,Iranian client,See the IB guide in Persian,I understand the form in my language,All 9 IB fields explained in Persian; RTL layout,backlog,medium
E13-US004,IB Return Guide,Client,See common mistakes for each field,I avoid known errors,common_mistakes shown as a warning list per field,backlog,medium
E13-US005,IB Return Guide,Client,See AI follow-up questions for each field,I get proactive guidance,ai_follow_up_questions trigger AI chat suggestions,backlog,medium
E13-US006,IB Return Guide,Client,Navigate fields in order,I complete the form systematically,Previous/Next navigation; progress indicator,backlog,medium
E13-US007,IB Return Guide,Client,See which IB fields are relevant to my persona,Irrelevant fields are filtered out,ZZP-specific fields shown to ZZP users; employee fields for employees,backlog,medium
E13-US008,IB Return Guide,System,Map IB form fields to tax rules,Context is complete,ib_form_mapping.json has rule_ids for each field; RAG retrieves them,backlog,medium
E13-US009,IB Return Guide,Accountant,Add a note to a specific IB field for a client,I give client-specific guidance,Note attached to ib_field × engagement; visible to client,backlog,medium
E13-US010,IB Return Guide,Client,See the Belastingdienst source URL for each field,I can go to the official source,source_url from ib_form_mapping.json shown as link,backlog,medium
E13-US011,IB Return Guide,Client,See a worked example for a complex field,I understand what values to enter,"Scenario-based example (e.g., ""For a ZZP with €72k profit, field 1a = ..."")",backlog,medium
E13-US012,IB Return Guide,Accountant,See all IB guide interactions for a client,I know where they struggled,Chat thread shows IB-related questions,backlog,medium
E13-US013,IB Return Guide,System,Link IB guide to AI chat,Questions about fields trigger relevant RAG,ib_field_chunker data in RAG corpus; retrieved when field is mentioned,backlog,medium
E13-US014,IB Return Guide,Client,"Mark a field as ""completed""",I track my progress through the form,Field status persisted per engagement; progress bar advances,backlog,medium
E13-US015,IB Return Guide,Client,Export the IB guide as a PDF checklist,I have a reference for filing,"PDF with all fields, explanations, and their notes",backlog,medium
E14-US001,Rule Management,Tax SME,Create a new tax rule,New rules are in the knowledge base,All required fields; starts as draft; not served until verified,backlog,medium
E14-US002,Rule Management,Tax SME,"Update a rule's value (e.g., new year's rate)",The calculator uses the latest value,New rule_version created; old version archived,backlog,medium
E14-US003,Rule Management,Tax SME,Set effective_until for expiring rules,SA-2026-001 stops being served after 2026,effective_until filter applied in RAG retriever,backlog,medium
E14-US004,Rule Management,Tax SME,Add AI prompt hint to a rule,AI behavior for this rule is guided,ai_prompt_hint appears in assembled context,backlog,medium
